#####################################################################
# Alchemist log file - simulation started at: 2024-06-04T14:06+0000 #
#####################################################################
#
# seed = 8.0, NumberOfHerds = 1, intrinsicForwardCoefficient = 0.5623413251903492, intrinsicLateralMultiplier = 0.5
#
# The columns have the following meaning: 
# time 0-1 1-2 2-3 3-4 4-5 5-6 6-10 >10 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.04471122578516851 98.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10.044711225785168 3.0 11.0 12.0 38.0 21.0 10.0 3.0 0.0
20.044711225785168 0.0 3.0 13.0 36.0 34.0 11.0 1.0 0.0
30.044711225785168 0.0 4.0 18.0 20.0 36.0 18.0 2.0 0.0
40.044711225785164 0.0 4.0 21.0 36.0 27.0 8.0 2.0 0.0
50.044711225785164 0.0 8.0 26.0 47.0 14.0 3.0 0.0 0.0
60.044711225785164 0.0 10.0 26.0 36.0 25.0 1.0 0.0 0.0
70.04471122578516 0.0 9.0 51.0 26.0 12.0 0.0 0.0 0.0
80.04471122578516 0.0 12.0 48.0 29.0 8.0 1.0 0.0 0.0
90.04471122578516 0.0 11.0 43.0 35.0 9.0 0.0 0.0 0.0
100.04471122578516 0.0 16.0 37.0 28.0 14.0 3.0 0.0 0.0
110.04471122578516 0.0 10.0 54.0 27.0 7.0 0.0 0.0 0.0
120.04471122578516 2.0 12.0 40.0 35.0 9.0 0.0 0.0 0.0
130.04471122578516 0.0 12.0 40.0 34.0 10.0 2.0 0.0 0.0
140.04471122578516 0.0 8.0 50.0 26.0 13.0 1.0 0.0 0.0
150.04471122578516 0.0 16.0 50.0 25.0 7.0 0.0 0.0 0.0
160.04471122578516 0.0 9.0 44.0 33.0 12.0 0.0 0.0 0.0
170.04471122578516 2.0 10.0 34.0 36.0 15.0 1.0 0.0 0.0
180.04471122578516 0.0 9.0 38.0 38.0 10.0 3.0 0.0 0.0
190.04471122578516 0.0 10.0 38.0 31.0 17.0 2.0 0.0 0.0
200.04471122578516 0.0 6.0 37.0 38.0 15.0 2.0 0.0 0.0
210.04471122578516 0.0 10.0 34.0 39.0 12.0 3.0 0.0 0.0
220.04471122578516 0.0 7.0 38.0 37.0 12.0 4.0 0.0 0.0
230.04471122578516 0.0 6.0 42.0 31.0 13.0 6.0 0.0 0.0
240.04471122578516 0.0 6.0 54.0 27.0 11.0 0.0 0.0 0.0
250.04471122578516 1.0 5.0 43.0 35.0 11.0 3.0 0.0 0.0
260.04471122578514 0.0 10.0 45.0 33.0 10.0 0.0 0.0 0.0
270.04471122578514 0.0 7.0 28.0 47.0 15.0 1.0 0.0 0.0
280.04471122578514 0.0 3.0 37.0 43.0 14.0 1.0 0.0 0.0
290.04471122578514 0.0 5.0 44.0 36.0 12.0 1.0 0.0 0.0
300.04471122578514 0.0 9.0 45.0 33.0 9.0 2.0 0.0 0.0
310.04471122578514 0.0 5.0 42.0 43.0 8.0 0.0 0.0 0.0
320.04471122578514 0.0 6.0 50.0 32.0 10.0 0.0 0.0 0.0
330.04471122578514 0.0 9.0 33.0 40.0 15.0 1.0 0.0 0.0
340.04471122578514 0.0 10.0 34.0 42.0 9.0 3.0 0.0 0.0
350.04471122578514 0.0 9.0 49.0 33.0 7.0 0.0 0.0 0.0
360.04471122578514 0.0 6.0 51.0 31.0 9.0 1.0 0.0 0.0
370.04471122578514 0.0 11.0 37.0 41.0 9.0 0.0 0.0 0.0
380.04471122578514 1.0 13.0 29.0 43.0 12.0 0.0 0.0 0.0
390.04471122578514 0.0 6.0 29.0 40.0 19.0 4.0 0.0 0.0
400.04471122578514 1.0 5.0 33.0 43.0 15.0 1.0 0.0 0.0
410.04471122578514 0.0 10.0 43.0 35.0 9.0 1.0 0.0 0.0
420.04471122578514 0.0 7.0 34.0 50.0 7.0 0.0 0.0 0.0
430.04471122578514 1.0 9.0 34.0 38.0 14.0 2.0 0.0 0.0
440.04471122578514 1.0 4.0 31.0 48.0 11.0 3.0 0.0 0.0
450.04471122578514 0.0 8.0 31.0 41.0 16.0 2.0 0.0 0.0
460.04471122578514 0.0 4.0 45.0 32.0 16.0 1.0 0.0 0.0
470.04471122578514 0.0 6.0 43.0 38.0 11.0 0.0 0.0 0.0
480.04471122578514 1.0 5.0 39.0 36.0 15.0 2.0 0.0 0.0
490.04471122578514 0.0 12.0 29.0 45.0 12.0 0.0 0.0 0.0
500.04471122578514 0.0 10.0 36.0 41.0 8.0 3.0 0.0 0.0
510.04471122578514 0.0 6.0 34.0 41.0 13.0 4.0 0.0 0.0
520.0447112257851 0.0 7.0 35.0 40.0 15.0 1.0 0.0 0.0
530.0447112257851 0.0 13.0 41.0 33.0 11.0 0.0 0.0 0.0
540.0447112257851 0.0 19.0 30.0 39.0 10.0 0.0 0.0 0.0
550.0447112257851 1.0 6.0 45.0 34.0 12.0 0.0 0.0 0.0
560.0447112257851 0.0 13.0 29.0 45.0 11.0 0.0 0.0 0.0
570.0447112257851 0.0 13.0 38.0 37.0 10.0 0.0 0.0 0.0
580.0447112257851 0.0 12.0 35.0 32.0 19.0 0.0 0.0 0.0
590.0447112257851 0.0 12.0 42.0 34.0 9.0 1.0 0.0 0.0
600.0447112257851 1.0 9.0 36.0 39.0 12.0 1.0 0.0 0.0
610.0447112257851 1.0 12.0 36.0 35.0 13.0 1.0 0.0 0.0
620.0447112257851 1.0 14.0 44.0 32.0 7.0 0.0 0.0 0.0
630.0447112257851 3.0 14.0 34.0 35.0 11.0 1.0 0.0 0.0
640.0447112257851 2.0 8.0 46.0 34.0 7.0 1.0 0.0 0.0
650.0447112257851 1.0 12.0 36.0 36.0 13.0 0.0 0.0 0.0
660.0447112257851 0.0 15.0 46.0 23.0 12.0 2.0 0.0 0.0
670.0447112257851 1.0 14.0 41.0 28.0 13.0 1.0 0.0 0.0
680.0447112257851 0.0 9.0 40.0 32.0 16.0 1.0 0.0 0.0
690.0447112257851 0.0 10.0 38.0 36.0 13.0 1.0 0.0 0.0
700.0447112257851 0.0 9.0 40.0 38.0 11.0 0.0 0.0 0.0
710.0447112257851 0.0 14.0 36.0 36.0 10.0 2.0 0.0 0.0
720.0447112257851 0.0 12.0 50.0 30.0 5.0 1.0 0.0 0.0
730.0447112257851 0.0 8.0 48.0 30.0 12.0 0.0 0.0 0.0
740.0447112257851 0.0 10.0 39.0 37.0 11.0 1.0 0.0 0.0
750.0447112257851 0.0 10.0 53.0 28.0 6.0 1.0 0.0 0.0
760.0447112257851 0.0 10.0 33.0 41.0 14.0 0.0 0.0 0.0
770.0447112257851 0.0 12.0 43.0 38.0 5.0 0.0 0.0 0.0
780.0447112257851 0.0 5.0 52.0 36.0 5.0 0.0 0.0 0.0
790.0447112257851 0.0 11.0 42.0 30.0 15.0 0.0 0.0 0.0
800.0447112257851 0.0 11.0 45.0 31.0 10.0 1.0 0.0 0.0
810.0447112257851 1.0 13.0 34.0 25.0 22.0 3.0 0.0 0.0
820.0447112257851 0.0 11.0 40.0 36.0 11.0 0.0 0.0 0.0
830.0447112257851 1.0 11.0 45.0 31.0 10.0 0.0 0.0 0.0
840.0447112257851 0.0 15.0 44.0 33.0 6.0 0.0 0.0 0.0
850.0447112257851 0.0 18.0 46.0 26.0 7.0 1.0 0.0 0.0
860.0447112257851 1.0 14.0 48.0 27.0 8.0 0.0 0.0 0.0
870.0447112257851 0.0 20.0 43.0 27.0 7.0 1.0 0.0 0.0
880.0447112257851 1.0 12.0 45.0 26.0 11.0 2.0 1.0 0.0
890.0447112257851 0.0 20.0 40.0 25.0 13.0 0.0 0.0 0.0
